driverId,driverRef,year,mean_L0_pos,mean_L0_adj,mean_L1_pos,mean_d,mean_d_adj,mean_DNF_GL,mean_d_DNF,mean_pit_GL,mean_d_pit,mean_pit_DNF_GL,mean_d_pit_DNF,mean_DNF_GL_C,mean_pit_GL_C,mean_d_pit_C,mean_d_DNF_C,mean_d_pit_DNF_C,var_L0_pos,var_L0_adj,var_L1_pos,var_d,var_d_adj,var_DNF_GL,var_d_DNF,var_pit_GL,var_d_pit,var_pit_DNF_GL,var_d_pit_DNF,var_DNF_GL_C,var_pit_GL_C,var_d_pit_C,var_d_DNF_C,var_d_pit_DNF_C,std_L0_pos,std_L0_adj,std_L1_pos,std_d,std_d_adj,std_DNF_GL,std_d_DNF,std_pit_GL,std_d_pit,std_pit_DNF_GL,std_d_pit_DNF,std_DNF_GL_C,std_pit_GL_C,std_d_pit_C,std_d_DNF_C,std_d_pit_DNF_C,median_L0_pos,median_L0_adj,median_L1_pos,median_d,median_d_adj,median_DNF_GL,median_d_DNF,median_pit_GL,median_d_pit,median_pit_DNF_GL,median_d_pit_DNF,median_DNF_GL_C,median_pit_GL_C,median_d_pit_C,median_d_DNF_C,median_d_pit_DNF_C,mad_L0_pos,mad_L0_adj,mad_L1_pos,mad_d,mad_d_adj,mad_DNF_GL,mad_d_DNF,mad_pit_GL,mad_d_pit,mad_pit_DNF_GL,mad_d_pit_DNF,mad_DNF_GL_C,mad_pit_GL_C,mad_d_pit_C,mad_d_DNF_C,mad_d_pit_DNF_C,sum_L0_pos,sum_L0_adj,sum_L1_pos,sum_d,sum_d_adj,sum_DNF_GL,sum_d_DNF,sum_pit_GL,sum_d_pit,sum_pit_DNF_GL,sum_d_pit_DNF,sum_DNF_GL_C,sum_pit_GL_C,sum_d_pit_C,sum_d_DNF_C,sum_d_pit_DNF_C,count_L0_pos,count_L0_adj,count_L1_pos,count_d,count_d_adj,count_DNF_GL,count_d_DNF,count_pit_GL,count_d_pit,count_pit_DNF_GL,count_d_pit_DNF,count_DNF_GL_C,count_pit_GL_C,count_d_pit_C,count_d_DNF_C,count_d_pit_DNF_C,min_L0_pos,min_L0_adj,min_L1_pos,min_d,min_d_adj,min_DNF_GL,min_d_DNF,min_pit_GL,min_d_pit,min_pit_DNF_GL,min_d_pit_DNF,min_DNF_GL_C,min_pit_GL_C,min_d_pit_C,min_d_DNF_C,min_d_pit_DNF_C,max_L0_pos,max_L0_adj,max_L1_pos,max_d,max_d_adj,max_DNF_GL,max_d_DNF,max_pit_GL,max_d_pit,max_pit_DNF_GL,max_d_pit_DNF,max_DNF_GL_C,max_pit_GL_C,max_d_pit_C,max_d_DNF_C,max_d_pit_DNF_C,kurt_L0_pos,kurt_L0_adj,kurt_L1_pos,kurt_d,kurt_d_adj,kurt_DNF_GL,kurt_d_DNF,kurt_pit_GL,kurt_d_pit,kurt_pit_DNF_GL,kurt_d_pit_DNF,kurt_DNF_GL_C,kurt_pit_GL_C,kurt_d_pit_C,kurt_d_DNF_C,kurt_d_pit_DNF_C
1,hamilton,2007,2.59,2.59,3.29,-0.71,-0.71,0.0,-0.71,-0.24,-0.47,-0.24,-0.47,0.0,0.0,-0.19,-0.71,-0.19,5.01,5.01,19.35,7.47,7.47,0.0,7.47,0.94,4.26,0.94,4.26,0.0,0.0,3.1,7.47,3.1,2.24,2.24,4.4,2.73,2.73,0.0,2.73,0.97,2.07,0.97,2.07,0.0,0.0,1.76,2.73,1.76,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,44,44,56,-12,-12,0,-12,-4,-8,-4,-8,0.0,0.0,-3.0,-12.0,-3.0,17,17,17,17,17,17,17,17,17,17,17,17,16,16,17,16,1,1,1,-9,-9,0,-9,-4,-6,-4,-6,0.0,0.0,-6.0,-9.0,-6.0,10,10,19,2,2,0,2,0,2,0,2,0.0,0.0,2.0,2.0,2.0,7.5,7.5,11.31,5.54,5.54,0.0,5.54,17.0,3.53,17.0,3.53,0.0,0.0,8.66,5.54,8.66
1,hamilton,2008,3.89,3.89,3.83,0.06,0.06,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.0,0.06,0.06,0.06,17.75,17.75,13.79,5.58,5.58,0.0,5.58,0.0,5.58,0.0,5.58,0.0,0.0,5.58,5.58,5.58,4.21,4.21,3.71,2.36,2.36,0.0,2.36,0.0,2.36,0.0,2.36,0.0,0.0,2.36,2.36,2.36,2.5,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,70,70,69,1,1,0,1,0,1,0,1,0.0,0.0,1.0,1.0,1.0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,1,1,-6,-6,0,-6,0,-6,0,-6,0.0,0.0,-6.0,-6.0,-6.0,15,15,14,4,4,0,4,0,4,0,4,0.0,0.0,4.0,4.0,4.0,2.59,2.59,2.23,2.66,2.66,0.0,2.66,0.0,2.66,0.0,2.66,0.0,0.0,2.66,2.66,2.66
1,hamilton,2009,9.18,9.18,9.35,-0.18,-0.18,0.06,-0.24,-0.71,0.53,-0.65,0.47,0.38,0.2,0.27,-0.12,0.57,47.9,47.9,51.49,21.53,21.53,2.31,16.82,14.1,5.89,16.87,1.64,0.65,0.6,5.21,17.72,1.34,6.92,6.92,7.18,4.64,4.64,1.52,4.1,3.75,2.43,4.11,1.28,0.81,0.77,2.28,4.21,1.16,9.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,7.0,7.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,156,156,159,-3,-3,1,-4,-12,9,-11,8,6.0,3.0,4.0,-2.0,8.0,17,17,17,17,17,17,17,17,17,17,17,16,15,15,16,14,1,1,1,-15,-15,-5,-15,-15,-7,-15,-2,0.0,0.0,-7.0,-15.0,-2.0,19,19,20,5,5,3,4,3,5,4,3,3.0,3.0,3.0,4.0,3.0,-1.73,-1.73,-1.7,6.57,6.57,8.85,11.81,15.57,5.98,10.25,0.65,7.65,15.0,7.87,11.97,1.84
1,hamilton,2010,5.16,5.16,5.26,-0.11,-0.11,-0.95,0.84,0.16,-0.26,-0.79,0.68,0.0,0.16,-0.26,0.89,0.72,18.36,18.36,26.2,22.54,22.54,17.05,3.81,0.14,21.76,17.51,3.34,0.0,0.14,21.76,3.99,3.51,4.29,4.29,5.12,4.75,4.75,4.13,1.95,0.37,4.66,4.18,1.83,0.0,0.37,4.66,2.0,1.87,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,0.0,1.0,,,98,98,100,-2,-2,-18,16,3,-5,-15,13,0.0,3.0,-5.0,16.0,13.0,19,19,19,19,19,19,19,19,19,19,19,18,19,19,18,18,1,1,1,-18,-18,-18,-1,0,-18,-18,-1,0.0,0.0,-18.0,-1.0,-1.0,20,20,23,7,7,0,7,1,7,1,7,0.0,1.0,7.0,7.0,7.0,8.03,8.03,8.15,12.53,12.53,19.0,4.9,2.41,13.13,18.65,7.91,0.0,2.41,13.13,4.49,7.37
1,hamilton,2011,3.58,3.58,4.05,-0.47,-0.47,0.05,-0.53,0.0,-0.47,0.05,-0.53,0.05,0.0,-0.47,-0.53,-0.53,5.59,5.59,5.94,2.82,2.82,0.05,2.71,0.0,2.82,0.05,2.71,0.05,0.0,2.82,2.71,2.71,2.36,2.36,2.44,1.68,1.68,0.23,1.65,0.0,1.68,0.23,1.65,0.23,0.0,1.68,1.65,1.65,3.0,3.0,4.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,68,68,77,-9,-9,1,-10,0,-9,1,-10,1.0,0.0,-9.0,-10.0,-10.0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1,1,1,-4,-4,0,-4,0,-4,0,-4,0.0,0.0,-4.0,-4.0,-4.0,10,10,10,4,4,1,4,0,4,1,4,1.0,0.0,4.0,4.0,4.0,3.03,3.03,0.39,2.2,2.2,19.0,2.74,0.0,2.2,19.0,2.74,19.0,0.0,2.2,2.74,2.74
1,hamilton,2012,4.3,4.3,5.0,-0.7,-0.7,-0.75,0.05,0.15,-0.85,-0.6,-0.1,0.05,0.15,-0.85,0.05,-0.11,28.85,28.85,37.47,14.64,14.64,12.93,1.52,0.24,13.82,13.62,1.15,0.05,0.24,13.82,1.61,1.21,5.37,5.37,6.12,3.83,3.83,3.6,1.23,0.49,3.72,3.69,1.07,0.23,0.49,3.72,1.27,1.1,2.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,86,86,100,-14,-14,-15,1,3,-17,-12,-2,1.0,3.0,-17.0,1.0,-2.0,20,20,20,20,20,20,20,20,20,20,20,19,20,20,19,19,1,1,1,-16,-16,-16,-2,0,-16,-16,-2,0.0,0.0,-16.0,-2.0,-2.0,24,24,23,4,4,1,4,2,3,3,3,1.0,2.0,3.0,4.0,3.0,9.69,9.69,4.57,15.13,15.13,19.82,5.21,11.89,16.5,18.43,3.49,19.0,11.89,16.5,4.85,3.24
1,hamilton,2013,3.47,3.47,4.68,-1.21,-1.21,0.0,-1.21,-0.74,-0.47,-0.74,-0.47,0.0,0.11,-0.44,-1.21,-0.44,8.37,8.37,20.34,15.84,15.84,0.0,15.84,13.76,1.15,13.76,1.15,0.0,0.1,1.2,15.84,1.2,2.89,2.89,4.51,3.98,3.98,0.0,3.98,3.71,1.07,3.71,1.07,0.0,0.32,1.1,3.98,1.1,3.0,3.0,4.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-0.5,-1.0,-0.5,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,1.0,,66,66,89,-23,-23,0,-23,-14,-9,-14,-9,0.0,2.0,-8.0,-23.0,-8.0,19,19,19,19,19,19,19,19,19,19,19,19,18,18,19,18,1,1,1,-17,-17,0,-17,-16,-2,-16,-2,0.0,0.0,-2.0,-17.0,-2.0,12,12,20,2,2,0,2,1,2,1,2,0.0,1.0,2.0,2.0,2.0,3.55,3.55,7.19,15.73,15.73,0.0,15.73,18.68,0.17,18.68,0.17,0.0,5.98,0.03,15.73,0.03
1,hamilton,2014,4.21,4.21,3.84,0.37,0.37,0.05,0.32,0.05,0.32,0.11,0.26,0.05,0.05,0.32,0.32,0.26,39.06,39.06,30.36,3.25,3.25,0.05,3.01,0.05,3.01,0.21,2.87,0.05,0.05,3.01,3.01,2.87,6.25,6.25,5.51,1.8,1.8,0.23,1.73,0.23,1.73,0.46,1.69,0.23,0.23,1.73,1.73,1.69,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,80,80,73,7,7,1,6,1,6,2,5,1.0,1.0,6.0,6.0,5.0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1,1,1,-3,-3,0,-3,0,-3,0,-3,0.0,0.0,-3.0,-3.0,-3.0,22,22,21,5,5,1,5,1,5,2,5,1.0,1.0,5.0,5.0,5.0,4.76,4.76,6.29,2.15,2.15,19.0,2.81,19.0,2.81,19.0,3.42,19.0,19.0,2.81,2.81,3.42
1,hamilton,2015,1.58,1.58,2.11,-0.53,-0.53,0.0,-0.53,0.0,-0.53,0.0,-0.53,0.0,0.0,-0.53,-0.53,-0.53,0.92,0.92,4.65,4.49,4.49,0.0,4.49,0.0,4.49,0.0,4.49,0.0,0.0,4.49,4.49,4.49,0.96,0.96,2.16,2.12,2.12,0.0,2.12,0.0,2.12,0.0,2.12,0.0,0.0,2.12,2.12,2.12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,40,-10,-10,0,-10,0,-10,0,-10,0.0,0.0,-10.0,-10.0,-10.0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1,1,1,-9,-9,0,-9,0,-9,0,-9,0.0,0.0,-9.0,-9.0,-9.0,5,5,10,1,1,0,1,0,1,0,1,0.0,0.0,1.0,1.0,1.0,9.01,9.01,10.65,16.36,16.36,0.0,16.36,0.0,16.36,0.0,16.36,0.0,0.0,16.36,16.36,16.36
1,hamilton,2016,4.14,4.14,5.52,-1.38,-1.38,-0.81,-0.57,0.33,-1.71,-0.48,-0.9,0.15,0.37,-1.95,-0.6,-1.11,40.33,40.33,40.36,27.35,27.35,19.56,7.56,1.13,23.61,22.36,5.49,0.24,1.25,25.61,7.94,6.1,6.35,6.35,6.35,5.23,5.23,4.42,2.75,1.06,4.86,4.73,2.34,0.49,1.12,5.06,2.82,2.47,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,87,87,116,-29,-29,-17,-12,7,-36,-10,-19,3.0,7.0,-37.0,-12.0,-20.0,21,21,21,21,21,21,21,21,21,21,21,20,19,19,20,18,1,1,1,-20,-20,-20,-6,0,-20,-20,-6,0.0,0.0,-20.0,-6.0,-6.0,22,22,21,6,6,2,4,4,2,6,1,2.0,4.0,2.0,4.0,1.0,4.22,4.22,1.77,7.89,7.89,20.44,0.51,8.67,10.22,16.41,0.91,11.89,7.54,9.17,0.32,0.15
