constructorId,year,diffPCT,Z_Score,robustZ,color,edgecolor,rankPCT,rankZScore,rankRobustZ
minardi,1985,40.19973696882073,2.388778142232801,3.731341828507862,skyblue,grey,938,926,924
aston-butterworth,1952,34.93605194510723,2.304481840279666,1.2263468354119913,gray,black,937,924,818
alta,1951,32.84684606660004,1.8994523817255784,1.5714199609082378,gray,black,936,913,844
de-tomaso,1963,26.530266028696662,3.787977677487753,6.187719576067895,gray,black,935,937,936
maki,1976,24.246819758738482,4.687676356576074,22.059815427587466,gray,black,934,938,938
heck,1953,23.61432112906909,1.8347183302792291,1.8321273821243684,gray,black,933,909,871
kurtis-kraft,1959,23.11122790490195,1.94172444600102,4.565783602610798,gray,black,932,915,928
coloni,1989,23.000244442994795,1.5268182758350144,1.221237056931108,gray,black,931,891,816
cooper,1955,21.89049035630589,3.4346216606191398,4.364351973083851,gray,black,930,934,927
enb,1962,21.13479383471023,1.3558076326907393,1.5978710980958455,gray,black,929,867,849
stebro,1963,19.9005833987788,2.8862183314935366,5.038842732560446,gray,black,928,930,932
simca-gordini,1953,19.38420660354291,1.8035152814920403,2.233169726087573,gray,black,927,907,889
de-tomaso,1962,17.792310054496365,0.061062874173045845,4.991231620126805,gray,black,926,584,931
greifzu,1953,17.762370478852354,0.973378464628391,0.992601649584351,gray,black,925,807,792
veritas,1953,17.59937649554384,0.8525582407217012,1.3071248228863803,gray,black,924,788,824
tec-mec,1959,17.33345012712417,1.196850148719324,3.216802083657608,gray,black,923,843,914
scirocco,1964,17.2681803262992,3.2487959068908507,4.339609742361343,gray,black,922,931,926
maserati,1951,17.204944863581368,0.7624222514863401,0.6637845569452206,gray,black,921,766,727
osca,1951,16.84223944098747,0.8586103270843691,0.47696132277273523,gray,black,920,789,690
lola,1968,16.718037495815455,1.2076247225572552,0.9717534395551978,gray,black,919,845,789
emw,1953,16.31188698435419,0.7598839680140806,0.78451407485221,gray,black,918,763,757
veritas,1951,15.482642707555469,0.8087592740584079,0.5781349366942244,gray,black,917,775,712
hwm,1955,15.390068090926064,3.2933024464086857,5.216061873285669,gray,black,916,933,935
hwm,1954,15.320263254366267,1.3634978408046128,2.1189190840160963,gray,black,915,869,883
